"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2019","9,145","8,965","9,195","8,950","0.57K","0.49%"
"Jun 18, 2019","9,100","9,335","9,470","8,930","1.98K","-1.99%"
"Jun 17, 2019","9,285","8,940","9,425","8,940","1.58K","3.14%"
"Jun 16, 2019","9,002","8,398","9,160","8,398","-","6.76%"
"Jun 14, 2019","8,432","8,340","8,475","8,205","0.35K","2.18%"
"Jun 13, 2019","8,252","8,155","8,305","8,055","0.65K","1.13%"
"Jun 12, 2019","8,160","7,925","8,310","7,820","1.19K","3.00%"
"Jun 11, 2019","7,922","7,980","8,060","7,720","1.00K","-1.12%"
"Jun 10, 2019","8,012","7,645","8,090","7,465","1.56K","4.87%"
"Jun 09, 2019","7,640","8,002","8,002","7,465","-","-4.48%"
"Jun 07, 2019","7,998","7,775","8,155","7,725","1.17K","4.48%"
"Jun 06, 2019","7,655","7,770","7,895","7,460","1.30K","-2.51%"
"Jun 05, 2019","7,852","7,505","7,920","7,460","1.15K","2.91%"
"Jun 04, 2019","7,630","8,535","8,535","7,525","2.65K","-11.40%"
"Jun 03, 2019","8,612","8,725","8,830","8,365","1.27K","-2.14%"
"Jun 02, 2019","8,800","8,480","8,830","8,410","-","3.59%"
"May 31, 2019","8,495","8,250","8,540","8,115","2.29K","-1.08%"
"May 30, 2019","8,588","8,700","9,140","8,500","3.84K","-1.60%"
"May 29, 2019","8,728","8,795","8,800","8,455","1.66K","-0.37%"
"May 28, 2019","8,760","8,670","9,055","8,595","4.32K","-1.52%"
"May 27, 2019","8,895","8,850","9,045","8,800","-","0.57%"
"May 26, 2019","8,845","8,150","8,915","8,078","-","8.79%"
"May 24, 2019","8,130","7,915","8,230","7,845","1.07K","3.67%"
"May 23, 2019","7,842","7,740","7,890","7,505","1.09K","-1.38%"
"May 22, 2019","7,952","8,075","8,085","7,790","1.02K","-1.32%"
"May 21, 2019","8,058","8,090","8,165","7,835","1.79K","2.39%"
"May 20, 2019","7,870","8,085","8,380","7,635","3.08K","-4.55%"
"May 19, 2019","8,245","7,155","8,380","7,155","-","15.35%"
"May 17, 2019","7,148","7,970","8,015","6,800","2.50K","-9.54%"
"May 16, 2019","7,902","8,205","8,600","7,800","2.59K","-3.17%"
"May 15, 2019","8,161","7,800","8,230","7,800","0.76K","3.83%"
"May 14, 2019","7,860","8,100","8,355","7,610","5.95K","-0.38%"
"May 13, 2019","7,890","7,020","8,000","6,870","6.90K","12.71%"
"May 12, 2019","7,000","6,375","7,440","6,375","-","10.15%"
"May 10, 2019","6,355","6,110","6,425","6,105","2.12K","4.78%"
"May 09, 2019","6,065","5,895","6,105","5,840","2.23K","3.15%"
"May 08, 2019","5,880","5,940","5,940","5,640","1.15K","0.82%"
"May 07, 2019","5,832","5,705","5,975","5,700","2.25K","1.96%"
"May 06, 2019","5,720","5,755","5,795","5,570","1.04K","-0.26%"
"May 05, 2019","5,735","5,695","5,785","5,695","-","0.65%"
"May 03, 2019","5,698","5,400","5,805","5,360","2.94K","5.71%"
"May 02, 2019","5,390","5,155","5,415","4,990","0.51K","1.79%"
"May 01, 2019","5,295","5,155","5,350","4,990","0.62K","1.15%"
"Apr 30, 2019","5,235","5,135","5,285","5,095","0.87K","2.09%"
"Apr 29, 2019","5,128","5,130","5,175","5,065","0.81K","0.06%"
"Apr 28, 2019","5,125","5,122","5,182","5,115","-","0.29%"
