Date,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Hash Rate,Average Difficulty,Miner Revenue,Block Size (bytes)
2022-06-04,214664521255.57675,,,,,,
2022-06-03,221798461213.04794,192786697762.60013,67.890261767485,1025.61694055,14444913387846108,,707788294
2022-06-02,219861974932.69815,194177670860.88373,46.986893304414,1021.33051218,14325163849641904,,785066848
2022-06-01,234792905392.6424,194562099643.57236,44.446170014964,1004.98466983,14192164189968302,,770310680
2022-05-31,241558740008.871,196999883186.4514,46.930514242695,1027.92162006,14447609827287046,,664717312
2022-05-30,219292093771.5613,197718502323.96936,55.119164298995,1021.92854355,14481205315958610,,625987937
2022-05-29,216629503975.9794,195827692969.15176,104.746993638485,1035.94622384,14528994334025312,,690445079
2022-05-28,208692306962.628,195489551960.59357,92.274301036018,1020.17356484,14293847904581734,,593458267
2022-05-27,216512298025.8411,194635687992.40512,32.45367026197,1048.7310297,14572081392515440,,618243706
2022-05-26,234628805134.5633,197034324910.5909,30.935227951884,1004.57815033,14245515212629694,,687245210
2022-05-25,239067237442.53363,199871856761.695,88.251035949629,1025.27024764,14366591030057762,,633978416
2022-05-24,238325730547.27075,200536544377.6958,63.652441961997,1027.19240944,14609541312801464,,598500287
2022-05-23,246661818032.0848,202101177175.71625,49.972272488052,1037.29825265,14406234356687542,,588202960
2022-05-22,238425583010.819,203496630542.70166,98.796877868248,1016.20715603,14338631500700224,,618169231
2022-05-21,236479845434.51047,202624507882.72653,103.497726113661,1048.37771739,14701799554865192,,605546135
2022-05-20,243739764410.80264,202593327583.87143,39.605232897978,1042.62447783,14634191091703830,,573935114
2022-05-19,231159143429.21143,203609844937.9343,45.26377679707,1030.20147876,14562406172735070,,571705821
2022-05-18,252267070261.89664,202561885821.52414,47.399582039944,1045.07467776,14448805888869224,,560905478
2022-05-17,244183149310.76932,205598025017.93692,54.777114912769,1031.46245329,14177684500076096,,652462534
2022-05-16,258818858921.92337,205849056104.6718,27.745464727876,1036.00471198,14229533784052012,,567469633
2022-05-15,248037731026.82617,207454671982.25958,79.733519158156,1045.96149954,14365170029484642,,554796754
2022-05-14,242281845020.0689,206350486952.10605,66.817106533105,1015.97141706,14074364782847678,,542396873
2022-05-13,235974020801.87442,205980504987.84647,20.834705404623,1065.51880285,14459990635308760,,563548041
2022-05-12,250754918205.02582,206294762068.96378,11.852377887594,1017.22526104,14199721500044868,,612391576
2022-05-11,282649271383.0004,210032722646.42737,16.16030597578,1052.28272518,14344720761464932,,633727772
2022-05-10,268945002064.46405,215245304938.08292,27.503248159007,1005.89507462,14000853722575606,,610255339
2022-05-09,304051363885.9675,214896093984.1941,25.495888944643,1035.08674684,14432725533574518,,567458824
2022-05-08,318000518921.3341,219856083994.49268,65.047932005428,1025.20857693,13983281544932860,,506546533
2022-05-07,324835999660.30316,223316772948.61057,86.572792217855,997.25361997,13769176517135912,,521147201
