"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2022-06-04","29673.251196577236","29777.11299229331","29454.791792725275","29669.2967970651","786398709.2379382","565494631601.3855"
"2022-06-03","30427.92007734026","30679.288770143565","29255.358153184134","29676.16540902864","2710706999.2731915","579849445958.394"
"2022-06-02","29788.26634177167","30675.446544834886","29573.996101287346","30436.46342754249","3291678509.7962995","567636624388.0945"
"2022-06-01","31776.24511187507","32292.02766439325","29309.754707074855","29788.69390511256","15972494430.66193","605491774827.4833"
"2022-05-31","31701.79105919277","32563.824375803753","29695.0492882687","31771.38937603875","19400703797.25054","604044722173.7987"
"2022-05-30","29455.659941241905","39589.161287632574","18255.99232938827","31708.96694568402","14862892120.421627","561219601985.9402"
"2022-05-29","29008.95809115671","29563.962240168694","28810.02203974233","29452.109528824138","1828617030.6052396","552681367385.8201"
"2022-05-28","28603.36611763465","29276.764334379255","28468.279441330793","29009.30150742161","1932315791.4007812","544927018411.97534"
"2022-05-27","29173.073364525506","29363.41732692637","28249.88624465546","28597.029820753145","5396438144.554803","555754340862.552"
"2022-05-26","29508.512759849644","29857.95418180387","27984.423157339465","29167.964539020693","6220349847.462913","562119462967.4799"
"2022-05-25","29623.90798389192","30190.09692311538","29300.848650378717","29511.77479048469","4084304646.6840863","564291751828.8649"
"2022-05-24","29079.233108412565","29805.222184660826","28633.06533565292","29624.359242781415","3804020158.114654","553893962440.7654"
"2022-05-23","30259.592373465857","30635.67486227212","28843.526652068747","29080.601914254326","4182611195.60714","576347435711.9735"
"2022-05-22","29403.915619435167","30456.08762285084","29222.60924358857","30259.63324946595","2185817236.8832207","560026594636.8591"
"2022-05-21","29162.33253764305","29615.603695462436","28911.54133142315","29439.303353769967","1234807085.2934074","555400443444.9744"
"2022-05-20","30274.58105478699","30733.717498714002","28695.27062644386","29163.241707694015","3481828247.5726557","576559142493.6926"
"2022-05-19","28675.782192315484","30503.93590964842","28646.75622489959","30281.175992674736","2952050497.163342","546089208132.549"
"2022-05-18","30405.419946013535","30676.238055155194","28607.810359077353","28673.35700619945","3538969063.1591263","579002232973.9702"
"2022-05-17","29841.07105513983","30747.79562524526","29413.464906749752","30412.48930171669","2882521432.803064","568227318883.8379"
"2022-05-16","31293.576288188306","31295.727414271758","29060.050202231447","29832.7807153465","2819756095.3674498","595854915149.5936"
"2022-05-15","30048.962889600534","31428.370867392216","29436.49395776125","31292.53086087863","1979460622.8275747","572133755866.1387"
"2022-05-14","29232.728021286217","30302.8428007966","28569.684538455476","30048.70072046038","1924225411.1813154","556565913681.0073"
