"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2022-06-04","1773.5198072886533","1787.2359395677618","1746.9418872257531","1776.3669035332664","581587715.1154745","214664521255.57675"
"2022-06-03","1832.654399026063","1842.4459031887245","1735.6431667168938","1773.5288934363396","2123062367.2035067","221798461213.04794"
"2022-06-02","1816.8469903157084","1851.6547144380868","1781.2210979945703","1832.7838182660307","2368208691.162601","219861974932.69815"
"2022-06-01","1940.4361371568984","1971.2694521848484","1762.766628833051","1816.7467092618162","8246879187.234745","234792905392.6424"
"2022-05-31","1996.563513138641","2015.1346010840168","1484.0269232286507","1939.9789112575188","9609276024.827778","241558740008.871"
"2022-05-30","1812.7148690969275","2097.3862806472953","1144.554205636912","1996.5930671001247","7333604484.706676","219292093771.5613"
"2022-05-29","1790.8960775377957","1827.3379366305226","1759.2146347605337","1812.525372149981","1798449170.367719","216629503975.9794"
"2022-05-28","1725.4622264490795","1807.636079771934","1719.377270278825","1790.9784046005568","1907753669.177015","208692306962.628"
"2022-05-27","1790.309723014198","1820.46","1701.9224141963898","1725.0923026531595","4872184389.255436","216512298025.8411"
"2022-05-26","1940.3180591092514","1964.420938449526","1733.2293145070744","1790.1724036629616","5017890618.224815","234628805134.5633"
"2022-05-25","1977.234531957869","2019.781150205452","1932.178238733884","1940.6509599458084","2465631614.190639","239067237442.53363"
"2022-05-24","1971.3109841947658","1991.6037412664914","1910.518254781606","1977.24044480238","2206273022.060696","238325730547.27075"
"2022-05-23","2040.4813544632548","2086.989072177418","1955.3587985871948","1971.2501694553125","2640456066.4315367","246661818032.0848"
"2022-05-22","1972.557944297149","2054.072117244046","1963.7569447580186","2040.7344289072064","1423602747.0464","238425583010.819"
"2022-05-21","1956.6684072364571","1988.0993582413234","1934.9264883545443","1974.5555837737215","943790269.9437282","236479845434.51047"
"2022-05-20","2016.9526531120287","2062.037374534334","1920.8232702529617","1956.7472575617412","2116258544.0673535","243739764410.80264"
"2022-05-19","1913.0503017113815","2038.028018125536","1900.4558051281185","2017.2408616655844","2071341314.967426","231159143429.21143"
"2022-05-18","2087.966866327948","2108.744608153886","1905.1794404798484","1911.9860481737364","2414149800.084773","252267070261.89664"
"2022-05-17","2021.279564531295","2120.0008121183128","2005.717942932903","2088.555042754129","2049558035.7727876","244183149310.76932"
"2022-05-16","2142.663401638176","2142.7306748906785","1977.3123345937927","2020.226877099406","1972505035.3656666","258818858921.92337"
"2022-05-15","2053.6365997875982","2163.0224270447998","1996.83","2143.065810916087","1204485653.3825862","248037731026.82617"
"2022-05-14","2006.1967943500836","2065.8791198514127","1947.061917471467","2053.639811980572","1350120959.2087836","242281845020.0689"
"2022-05-13","1954.181681330838","2145.0562070239466","1934.5146802579625","2006.2781153050155","3040117161.1036906","235974020801.87442"
"2022-05-12","2076.812833201806","2189.403781082802","1691.729721760003","1954.208255586086","8502541642.862287","250754918205.02582"
"2022-05-11","2341.2274984423602","2450.6850870061835","1998.140822700577","2075.9807196156107","9765584191.703402","282649271383.0004"
"2022-05-10","2227.95671581562","2456.316090913532","2198.6167058536216","2341.7490809194096","5103401339.123473","268945002064.46405"
"2022-05-09","2519.053370137175","2531.6962701767484","2223.7544093627416","2229.538132920315","6972419026.449543","304051363885.9675"
"2022-05-08","2634.912570309348","2641.2379579958774","2483.4452382177883","2518.7504205607675","2759781138.4464397","318000518921.3341"
"2022-05-07","2691.84562483761","2705.250931574409","2586.6962229013534","2633.912858534848","1431536945.3386018","324835999660.30316"
"2022-05-06","2747.5527932006776","2757.7080308789778","2632.473139480854","2691.618501237776","2972540598.906549","331522111769.5527"
"2022-05-05","2940.170177379222","2955.7625659614205","2686.7072964882104","2747.5559761706204","3009272503.706275","354724704271.4292"
"2022-05-04","2780.836878989954","2965.50012329704","2770.9761890925697","2940.074941212475","2548740896.3909144","335464991265.78766"
"2022-05-03","2856.2169291619316","2861.21592442964","2754.4714646693324","2781.1132285847957","1670850383.7695577","344520241512.0071"
"2022-05-02","2824.9529401854606","2882.809858279194","2778.2570912209035","2856.090084125142","2256651272.6095605","340711796731.06165"
"2022-05-01","2726.08518423189","2847.718424320536","2716.445905344768","2825.169702966238","1343220750.816552","328751052001.6341"
"2022-04-30","2818.0377865916444","2840.8956665788282","2716.193779351419","2726.0596637899407","1077328299.8291533","339801971623.923"
"2022-04-29","2936.747706855189","2940.708628148851","2775.8706505939467","2816.7905163616547","851287527.3332093","354076691464.5746"
"2022-04-28","2888.9179748330107","2980.2719327251193","2854.321663609872","2934.251035684147","2485965000.7931733","348271452793.53937"
